x1 x2 y
-0.4127341 -0.5164471 2.174053
-0.062952 0.3353391 3.977315
-1.413462 0.1740243 -4.522266
1.190667 1.175517 15.72724
0.9095557 -0.4208167 -0.6010847
0.4607902 -1.677742 -11.07546
-0.5593557 1.28233 1.046288
0.3801122 0.7150004 1.711216
1.204776 -0.3507547 -2.671704
-0.9739252 0.520961 -0.4329206
-0.5750029 2.817337 -2.499602
-0.338707 0.916938 0.7772082
-1.109568 0.1881196 -5.151042
-1.610609 -1.674322 6.033955
0.5634362 1.105106 9.87995
0.1219687 -0.188616 0.1909641
-0.295343 0.271329 -0.4403668
0.9509339 0.4490014 4.142642
0.3635098 0.8545581 3.959938
1.238793 -0.3578953 3.815958
0.1869175 1.176146 5.568348
0.7750329 0.3850627 7.043882
-0.5382763 0.648874 1.344441
-1.335808 -1.614878 7.95324
0.4276567 0.4916935 5.181667
-1.171637 1.088385 -8.233982
-0.2122912 -0.01879092 -1.476028
-0.2990278 -1.882451 -0.3651949
0.1024914 -0.8117025 -4.345987
0.4060472 0.2138603 4.02978
0.2077935 1.807454 8.024333
0.708113 -0.8605718 -4.618534
0.3406351 0.2343748 1.284274
-0.3429619 0.2631562 0.1017471
0.08025131 -2.122761 -4.475536
-0.8240264 0.20849 -0.1459242
-0.08891254 -0.495914 -0.8659375
0.8158276 -0.9038036 -2.763832
1.219784 0.4118173 11.001
0.3600295 0.7719431 5.690684
-0.4026974 0.1586694 1.228218
0.05033411 -0.4261302 0.2500216
0.8613355 0.1724283 2.175261
0.4253147 0.4003503 2.220157
0.3736476 -1.395237 -1.726838
-0.5688539 -0.480531 1.823366
-0.1993917 0.7401541 3.420359
0.9304086 0.2095099 4.954073
-1.560319 1.393682 -10.01634
0.916391 0.390503 6.455123
0.6286148 -0.03812832 2.083034
-0.6047415 -0.3030404 0.4278071
-0.4964213 1.002384 -1.992249
-1.102529 -0.5725877 5.66739
2.102417 0.02310102 7.169468
0.9699392 1.967469 19.78982
-1.836499 1.291821 -10.60632
-0.2294802 -1.319222 -2.85473
0.08622597 0.7588048 7.263755
-0.4428723 0.242554 -0.5913524
0.9657964 2.596378 21.12318
-0.04423395 -0.01396838 3.601573
0.98193 0.04111878 5.593929
-0.373328 0.4148619 -0.9799802
-0.9582316 -0.1442207 -3.340694
0.8756607 -0.5956365 -5.834096
-1.504628 -1.172559 4.520627
0.9796192 1.19415 9.892704
-0.3061291 0.5334405 -0.6206826
2.215282 1.007222 22.16706
-0.3142781 1.019573 3.218624
0.04318411 -1.096205 -4.126204
0.9934083 -0.08755474 1.955081
-1.006422 -0.3790691 0.648866
-0.3605818 -1.498857 2.462881
0.8780877 -0.445803 -2.847046
0.05738378 -0.7148919 -4.484668
1.359125 -1.357486 -15.11538
-1.261254 1.37152 -6.675477
-1.218653 0.3442523 -3.041933
-1.345133 0.5016611 -2.689917
0.01223198 -0.2127343 0.08896942
1.936694 -0.1893088 2.89185
-0.004345253 -2.25547 -5.267858
0.7680417 0.1129229 3.442313
0.8363545 -0.3425093 -1.3195
0.6912309 0.885601 11.23621
0.08900699 -0.5401847 -1.542569
0.5267997 0.02202686 3.52283
-0.3124356 0.7086071 1.501864
-0.5990918 -0.2055954 3.487102
0.8053245 0.986233 11.7572
1.795598 -0.07444259 2.890472
-0.1763408 1.214926 2.988351
-0.2415119 2.595166 4.291275
0.9295613 -0.1011921 -2.190531
-1.494243 -0.3992489 3.788005
-0.7176944 -0.1325956 1.865565
-0.3013024 -1.515092 -2.942108
-0.8629771 0.1608105 -0.3121624
-0.6888709 -0.2312816 0.3681441
1.039091 -0.976623 -8.206007
-0.321158 -1.029957 2.232301
0.4809103 -0.2465157 0.01446739
-0.5771362 -0.3937697 0.3951384
0.5481111 2.0732 15.94362
-0.4724435 1.535493 -1.679259
0.5251516 0.8248549 4.953053
1.627714 -1.057875 -9.346783
1.396259 1.098812 17.44648
-0.3612101 -0.5817395 -0.05919656
-0.1192342 -0.5654956 0.8814944
0.8038036 1.320614 13.6085
-1.420882 0.4557434 -3.269104
1.641144 -1.948739 -23.55871
-0.5755314 -0.007096889 1.206261
-0.437621 -0.03700508 -1.468693
-1.409335 0.9953434 -8.180734
0.2001309 0.5328689 3.429025
-0.2974083 0.03438471 -2.848722
-0.5466297 -0.2038265 -0.2353071
-0.2026903 2.194739 3.630007
1.038052 -1.356325 -10.8775
1.049887 -1.316212 -10.2493
0.3882944 -0.5369013 1.406008
-0.2098718 1.266927 0.2678408
0.4247506 -0.5338643 -1.543416
-0.1932476 0.1374271 -4.077482
-0.720052 -0.2910139 -1.404214
0.6736043 -1.154575 -6.78547
-0.7790725 0.8683049 1.072586
-0.7796721 -0.09379955 -2.325982
-0.09633239 0.8846686 1.205649
-1.112821 -1.139321 0.1682993
-0.8277598 1.282459 -2.817939
-1.611272 -0.6676514 4.537294
0.257052 -0.7034717 -4.078351
-0.07970722 -0.7038585 -1.785823
-1.13692 0.1697071 0.8102383
0.3329389 -0.4173304 -1.788382
-3.051591 0.2121374 -6.979886
0.6441733 1.100982 10.62564
-0.7564594 -1.713094 -0.4876766
-0.7858591 0.09833237 1.693403
-0.8520081 -0.8031689 2.582664
-1.625631 0.5119867 -6.685517
2.116601 0.9791674 18.79776
-1.228378 1.25418 -7.71869
-1.171057 -0.7368346 3.252762
-1.387931 -1.04548 2.665525
0.3747349 0.2930005 -0.4611544
-0.5661793 0.5386506 -0.6320533
0.9915347 -1.463306 -8.568556
-1.64845 0.2699835 -6.475513
-0.9326497 -1.27361 1.965033
-2.769444 1.174676 -22.97845
0.7432618 0.7400206 8.240372
-0.1188497 -0.8026378 -1.338253
-1.754371 -0.2990661 -0.3252722
1.859119 0.9134867 16.40373
0.5372886 0.09323719 1.236133
0.477955 -0.8319258 -1.182715
0.2192624 1.350722 7.477941
0.006303839 1.308473 4.613648
-1.647622 0.7291364 -13.74226
1.41977 1.852409 22.62549
-1.087228 0.7089617 -2.146576
-0.5948044 -1.518063 -0.1397249
-0.0592731 -0.1549061 -1.94481
1.622845 -1.315016 -13.38241
0.9350287 2.488256 23.54321
0.8711656 -0.7142353 -4.136563
-0.01485007 0.6926888 3.979873
-1.034354 0.9199176 -0.9763155
0.1366565 -0.6320599 0.8350665
-0.9872925 0.9357855 -1.218347
-0.1237105 1.291969 3.00977
1.047256 2.030829 23.63649
0.9034155 0.6204537 6.069206
0.2257124 1.565905 7.991364
-0.1901299 -1.636218 1.948526
-0.07461998 1.533973 4.740233
0.3084251 0.01777606 1.092456
-0.992156 -1.184127 1.343914
-0.3285261 1.101328 3.018579
-0.4052649 0.1697938 4.498362
0.6459884 1.526346 13.61134
0.07543966 -1.211723 -3.555291
0.7247783 -1.362885 -3.418271
-1.385009 0.01136629 -3.388033
0.4929031 -0.7555908 -0.2524993
0.2475292 0.3487506 2.216576
-1.862314 0.7769558 -11.11887
0.1087456 1.122897 7.755453
-0.5865899 -1.205286 -3.146507
-0.6798656 -0.8745465 -0.03242621
-0.5695611 2.707143 -1.237963
-0.364083 -1.142662 -1.544645
0.7449509 -0.1338936 -1.78626
-0.4868843 -0.07834283 -1.262736
-0.1710307 0.7782717 -0.9199676
2.575073 -0.07006876 8.703673
1.116273 1.237018 11.51504
-0.2548109 -0.2360047 -4.069053
-2.448414 -0.9411382 8.50083
0.9506455 2.753985 28.68652
-0.5270544 1.516473 -0.6922494
0.1183942 0.684524 3.362981
0.9029985 -0.9228732 -3.512655
1.554788 -0.7981748 -2.933466
0.9301867 -1.173995 -10.39493
1.181886 -0.5578946 0.3428762
-0.4562153 -0.1374465 0.4434845
-1.837358 -0.1949885 -1.788787
0.512697 0.9525039 10.34327
-0.4912478 2.745394 2.041222
-0.4394668 -0.01846948 2.670263
0.1840159 -2.042945 -7.59873
0.5641449 0.3884529 6.160856
0.7019873 -0.7683017 -2.545507
-0.9571293 -1.613649 2.47722
-0.5209279 0.5240899 3.406802
0.7021719 -1.637058 -9.080357
-0.3054529 -0.2002853 0.04593596
-1.512158 -0.2033156 0.2683522
1.384646 1.289846 19.13418
-1.264282 0.7731334 -6.485456
-0.61124 -1.770121 0.8526129
0.4827049 -0.1902197 6.05672
-0.04281827 0.4331708 1.957404
-1.058757 -0.4034606 -0.3574393
-1.514396 -2.770566 16.30257
-1.187679 0.2376913 -1.553129
-0.2368673 1.083067 1.159605
0.2403022 -0.3288861 -2.145692
-0.3755616 0.229939 2.116159
1.036482 -0.20465 1.424008
-1.01314 -0.7466624 2.237069
1.614922 0.0118612 3.797708
0.3284583 -0.3363847 -3.319388
-0.9815385 2.03065 -6.691904
-0.1288795 1.662709 9.225787
1.026249 -0.6947743 -6.233437
-0.188267 -1.115067 -3.431766
0.2137522 1.511203 5.227144
-2.386148 -0.5805762 2.067756
0.2893762 -1.097431 -0.8560567
-0.7341667 0.3549457 -1.273667
1.085436 -1.331833 -10.00948
1.945183 -0.4315902 -4.01879
-0.8748118 1.076861 -3.040813
-0.2653186 0.8692457 3.763991
-0.8905046 0.7871899 1.895014
0.2639577 -0.6313032 1.263574
-0.3500403 1.381709 -0.1969238
-0.5150562 2.215188 -1.236486
-0.4262231 -3.138145 -0.02667117
1.099583 -0.2500725 0.7790125
0.8260462 -0.2702401 1.052648
-0.7608039 0.1300299 -3.349679
0.6977223 0.7128577 6.665218
0.1270261 -0.7043582 -3.248662
-1.070346 0.6486158 -5.217422
0.5525151 0.7192291 5.209226
1.393201 1.157419 16.10418
1.335825 -0.9352691 -6.641629
0.1176557 -0.7438558 -0.2544712
-0.02172195 -1.742018 -5.060819
-0.1512189 -0.3397824 -1.727513
-1.443286 0.0492934 1.066777
-0.4198918 0.0358327 2.165172
-0.8242787 1.409237 -1.996779
-0.008661424 -1.254847 0.6832906
2.915111 1.014238 25.65716
0.07362698 0.1577757 5.787916
0.1801749 1.496193 9.919287
-0.9683772 -2.426942 6.497639
0.6430046 0.4560778 6.662469
-1.235273 -0.7170343 1.815432
1.435869 -0.07157935 2.818676
-0.2144587 0.8049812 -1.202253
0.4685139 -1.072976 -2.812948
0.4169462 1.547247 14.63099
-0.2574793 -0.7826154 3.525785
0.1673589 -1.028549 -2.444162
-1.638134 0.1533038 -3.538904
-0.2284652 -0.7626039 -0.3353824
0.6261132 0.7758226 9.786067
0.7749449 -0.1316607 4.497327
0.2164384 1.274454 7.727171
-0.347672 -0.2309675 2.322117
1.206388 -0.6481406 -3.277252
0.2941042 0.06805092 2.90789
-0.5055275 -1.609954 2.413619
1.170738 1.467099 25.32745
-0.5908279 0.790246 -0.720319
0.5604542 0.5751126 4.443897
-0.1134007 1.530097 5.214022
-1.779025 1.704024 -16.44664
0.5574725 -1.01107 -3.029561
-0.06635444 1.391887 5.171301
-2.001671 0.4482766 -4.409991
2.129638 0.7943276 15.87249
-0.2924663 -0.2765521 -2.340446
0.824504 1.62899 18.72978
1.002116 1.240858 14.63828
-0.2242279 0.347286 -0.7186465
1.089241 -0.2479167 -1.333059
-0.2716958 -1.247955 -2.357588
-0.918711 1.397807 -3.168162
1.011031 0.5368968 6.835115
0.56104 -0.4140829 2.169621
0.1114861 -0.78508 -1.169732
-2.112622 1.139941 -13.86325
-0.1845233 0.1312418 0.8483362
2.12089 -0.535067 -3.767486
0.1755806 -0.8934314 -2.605707
-1.236361 1.056874 -3.829207
-2.075783 0.156263 -7.306513
0.6960385 0.03714591 4.832182
0.8532058 1.086726 10.82842
1.755089 0.465382 12.27649
0.8013046 0.4070948 5.664306
-1.332336 -1.441009 2.840125
0.4806868 0.2342785 4.033707
0.4498065 0.2267519 1.915027
-1.113762 0.5895843 -1.149924
1.702526 -1.44965 -16.40776
-1.587988 0.3064158 -7.751798
0.4923529 0.5151091 3.343706
-0.6077251 0.1225559 -1.43871
0.04388957 -2.371215 -8.302155
0.4059859 -0.9510035 -3.832771
0.6337395 1.390045 10.53252
-0.1101092 -0.3857102 -0.9440118
1.325238 -0.2383937 1.695708
2.202178 -0.7981643 -9.863628
0.2060277 -0.1995034 2.087281
-0.9606239 0.4380455 -2.137005
-1.052613 0.2669475 -2.066793
1.893971 -0.7969829 -10.73226
-2.177663 0.6003004 -10.00039
2.232449 -1.867259 -26.25954
-0.3900178 -0.03937917 1.888569
-1.984503 -1.374871 12.05863
-0.9391366 -1.150526 4.615649
1.305474 0.05320192 1.960602
0.06128712 -0.3449996 -1.631397
-0.7164947 1.907956 -3.090403
1.636948 1.162629 17.06145
1.395213 0.7909056 9.575412
0.9447159 0.05983558 4.990806
-0.4101102 0.9736859 0.8412394
-1.733514 1.447547 -11.95165
0.9524635 1.387928 12.59428
-0.1912758 1.075634 1.928984
-1.384123 -0.3565733 -2.219215
-0.7552422 0.524387 -2.972388
-1.690091 -1.156112 6.333514
-0.3535786 0.06396292 -1.28095
-1.388486 -2.456557 9.331841
1.636206 0.3127738 5.668972
-1.004319 0.06165674 -4.06365
-0.5260422 -0.1117194 -1.760324
0.1168947 -0.3680344 3.279157
1.392371 -0.4843044 -3.025425
0.4654574 0.5406837 2.83662
-0.7184345 1.560843 -5.293533
-0.2690775 -0.5801404 -0.6432471
-1.090932 -0.9311554 1.33162
0.9007402 -1.477308 -9.110333
0.4364812 -0.02426796 1.171191
-1.028368 -0.1924588 1.288734
-0.3458943 0.2437867 1.973807
-1.204925 -0.5269982 2.931254
0.118634 -0.1309583 1.238181
0.2139064 -0.02278293 3.558949
0.5061854 -0.7225539 -2.502874
0.09322146 -0.3363407 1.855146
1.061904 1.553866 17.36978
-0.06543194 1.196531 2.625961
1.250031 0.3984877 5.244055
-0.7265871 -0.6427501 -0.9971669
0.2445305 -0.000772201 -0.01174768
1.596786 0.1160964 6.806303
1.133384 -1.217219 -8.766543
-2.219016 -0.9393366 4.9897
1.358627 -0.8471382 -7.526503
-1.994175 -0.8313302 7.48994
-0.4229054 -0.7802544 -0.6802298
1.131079 0.8327372 8.914109
0.2708126 0.6423244 3.652277
1.744897 -0.12569 2.983426
-0.2146274 0.6693959 3.382991
0.3614019 -0.5247938 -1.159411
-0.6943809 -0.6765965 0.6240489
0.5564805 1.806192 11.48333
0.848219 -0.7814575 -2.032171
-1.931255 0.8705479 -10.13856
0.2887128 0.9946204 7.758164
-0.2371775 1.830831 6.506509
1.53621 1.275501 20.01338
-0.2698147 -0.6245748 -0.9673302
-1.040346 0.460595 -4.108572
0.127994 -0.745351 -2.705276
-0.9714855 0.4142955 -3.944689
0.170305 -0.7141066 -0.7915835
-0.05973946 -0.3788211 -3.055527
1.549104 0.5894609 7.854687
-1.146862 0.1122453 -3.06413
-0.2239073 -0.3518381 2.137904
0.1734653 0.7944027 4.80261
-0.1512025 1.81951 3.516938
-0.4701875 -0.6750379 1.278054
0.8130693 -1.566683 -10.4198
-0.04641178 0.8230666 2.917216
0.6207451 0.8888284 8.364364
0.2760901 -0.6486274 0.7093696
-1.036264 -1.084759 5.002913
2.571282 -0.03624571 8.039662
1.558814 0.5697381 13.11365
1.030373 -2.084023 -15.41631
0.1858001 -0.2823109 3.969219
